"编号","开始答题时间","结束答题时间","答题时长","1.性别","2.年龄","3.饮食偏好:是否喜欢辣","3.饮食偏好:是否喜欢甜","3.饮食偏好:是否喜欢酸","3.饮食偏好:是否偏爱素食","3.饮食偏好:能否接受生食（如刺身）","3.饮食偏好:能否接受冷食（如冰淇淋）","3.饮食偏好:能否接受带有臭味的食物（如螺蛳粉 榴莲 臭豆腐）","3.饮食偏好:能否接受重口味食物","3.饮食偏好:能否接受清淡口味食物","4.您喜欢的菜系（多选）:川菜（如麻辣香锅、毛血旺）","4.您喜欢的菜系（多选）:粤菜&港式（如烧腊、菠萝油）","4.您喜欢的菜系（多选）:湘菜（如小炒黄牛肉）","4.您喜欢的菜系（多选）:江浙菜（如西湖醋鱼、东坡肉）","4.您喜欢的菜系（多选）:日料（如寿司、刺身）","4.您喜欢的菜系（多选）:韩餐（如石锅拌饭）","4.您喜欢的菜系（多选）:西餐（如牛排、披萨）","4.您喜欢的菜系（多选）:东南亚风格（如冬阴功汤）","4.您喜欢的菜系（多选）:其他____{fillblank-514a}","4.您喜欢的菜系（多选）:其他____{fillblank-514a}[选项填空]","5.为食物打分:沙拉","5.为食物打分:麻辣香锅","5.为食物打分:酸菜鱼","5.为食物打分:甜甜圈","5.为食物打分:水煮蔬菜","5.为食物打分:白切鸡","5.为食物打分:寿司","5.为食物打分:麻辣烫","5.为食物打分:韩式炸鸡","5.为食物打分:冬阴功汤","5.为食物打分:蜜汁叉烧","5.为食物打分:烧烤","5.为食物打分:菌菇汤","5.为食物打分:卤味","5.为食物打分:蛋挞","5.为食物打分:红烧肉","5.为食物打分:汉堡","5.为食物打分:石锅拌饭","5.为食物打分:煲仔饭","5.为食物打分:皮蛋瘦肉粥","5.为食物打分:刺身","5.为食物打分:牛排","5.为食物打分:披萨","5.为食物打分:冰淇淋","5.为食物打分:布丁","5.为食物打分:新疆爆辣炒粉","5.为食物打分:小笼包","5.为食物打分:酸辣粉","5.为食物打分:小米粥","5.为食物打分:螺蛳粉","语言","清洗数据结果","智能清洗数据无效概率","地理位置国家和地区","地理位置省","地理位置市","自定义字段","IP","UA","Referrer",
"418","18-Apr-2025 20:07:01","18-Apr-2025 20:08:57","116","A.女","C.31-50岁","B.否","B.否","A.是","B.否","B.否","B.否","A.是","B.否","A.是","","B.粤菜&港式（如烧腊、菠萝油）","","D.江浙菜（如西湖醋鱼、东坡肉）","E.日料（如寿司、刺身）","F.韩餐（如石锅拌饭）","G.西餐（如牛排、披萨）","","","","4","3","5","3","5","4","4","4","4","1","5","5","5","3","5","5","5","4","4","5","3","4","4","3","4","2","5","3","4","3","简体中文","未清洗","","中国","","","","2409:8924:4052:5b90:e4ed:18ca:27fe:ed24","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.57(0x18003932) NetType/4G Language/zh_CN","",
"417","18-Apr-2025 07:37:24","18-Apr-2025 07:41:18","234","A.女","C.31-50岁","A.是","B.否","A.是","A.是","B.否","B.否","A.是","B.否","A.是","","B.粤菜&港式（如烧腊、菠萝油）","","D.江浙菜（如西湖醋鱼、东坡肉）","","","G.西餐（如牛排、披萨）","","","","3","2","4","1","4","4","3","2","3","3","3","3","4","4","2","3","2","3","3","4","2","4","3","2","3","2","4","3","4","3","简体中文","未清洗","","中国","浙江省","绍兴市","","240e:390:5f5f:88f0:5414:8806:5e22:c7ba","Mozilla/5.0 (iPhone; CPU iPhone OS 16_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.57(0x18003932) NetType/WIFI Language/zh_CN","",
"416","18-Apr-2025 00:26:11","18-Apr-2025 00:28:19","128","A.女","D.51岁及以上","B.否","B.否","B.否","B.否","A.是","A.是","A.是","A.是","A.是","","B.粤菜&港式（如烧腊、菠萝油）","","D.江浙菜（如西湖醋鱼、东坡肉）","","","","","","","3","2","4","0","0","3","3","3","2","2","4","3","5","4","3","4","3","3","4","5","2","3","3","3","2","2","4","3","4","2","简体中文","未清洗","","中国","江苏省","常州市","","114.227.96.65","Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.57(0x18003932) NetType/WIFI Language/zh_CN","",
"415","18-Apr-2025 00:17:55","18-Apr-2025 00:23:47","352","A.女","B.19-30岁","A.是","B.否","A.是","B.否","B.否","B.否","A.是","A.是","A.是","A.川菜（如麻辣香锅、毛血旺）","B.粤菜&港式（如烧腊、菠萝油）","C.湘菜（如小炒黄牛肉）","","","","G.西餐（如牛排、披萨）","","","","2","2","5","2","3","5","3","4","2","0","1","5","3","5","3","4","2","2","0","4","0","4","0","0","4","2","4","4","3","0","简体中文","未清洗","","中国","福建省","莆田市","","218.207.145.127","Mozilla/5.0 (Linux; Android 12; BAL-AL00 Build/HUAWEIBAL-AL00A; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/130.0.6723.103 Mobile Safari/537.36 XWEB/1300493 MMWEBSDK/20250201 MMWEBID/8968 MicroMessenger/8.0.57.2820(0x2800393F) WeChat/arm","",
"414","17-Apr-2025 13:37:55","17-Apr-2025 13:40:16","141","B.男","A.18岁以下","A.是","B.否","B.否","B.否","B.否","A.是","A.是","A.是","A.是","","","C.湘菜（如小炒黄牛肉）","D.江浙菜（如西湖醋鱼、东坡肉）","","","G.西餐（如牛排、披萨）","","","","4","1","4","0","5","5","2","1","1","4","3","4","4","4","3","5","5","5","5","5","2","5","1","4","3","2","5","3","5","3","简体中文","未清洗","","中国","浙江省","杭州市","","124.160.201.89","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","",
"413","17-Apr-2025 13:34:05","17-Apr-2025 13:37:40","215","B.男","A.18岁以下","B.否","A.是","B.否","B.否","A.是","A.是","A.是","B.否","A.是","","","","D.江浙菜（如西湖醋鱼、东坡肉）","","","G.西餐（如牛排、披萨）","","","","3","4","2","4","5","4","5","5","2","1","3","5","0","5","5","5","5","5","5","5","1","5","5","5","5","2","5","2","5","2","简体中文","未清洗","","中国","浙江省","杭州市","","124.160.201.89","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","",
"412","17-Apr-2025 13:30:56","17-Apr-2025 13:33:50","174","A.女","A.18岁以下","B.否","A.是","A.是","B.否","B.否","A.是","A.是","B.否","A.是","","","","D.江浙菜（如西湖醋鱼、东坡肉）","","","","","","","2","0","3","4","3","4","5","4","2","4","3","4","0","2","1","4","0","0","0","5","0","5","3","5","5","0","5","2","1","2","简体中文","未清洗","","中国","浙江省","杭州市","","124.160.201.89","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","",
"411","17-Apr-2025 13:29:17","17-Apr-2025 13:30:44","87","A.女","A.18岁以下","B.否","A.是","B.否","A.是","B.否","A.是","B.否","B.否","A.是","","","","D.江浙菜（如西湖醋鱼、东坡肉）","","","","","","","2","0","3","2","0","3","0","2","0","2","0","2","0","1","2","4","2","0","1","0","0","0","2","2","2","0","3","0","3","0","简体中文","未清洗","","中国","浙江省","杭州市","","124.160.201.89","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","",
"410","17-Apr-2025 13:27:32","17-Apr-2025 13:29:05","93","A.女","A.18岁以下","B.否","B.否","A.是","B.否","A.是","A.是","A.是","A.是","B.否","","","","D.江浙菜（如西湖醋鱼、东坡肉）","","","","","","","4","0","5","1","3","4","3","4","0","0","0","2","3","5","3","4","2","3","0","4","3","3","1","3","1","1","3","0","4","0","简体中文","未清洗","","中国","浙江省","杭州市","","124.160.201.89","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","",
"409","17-Apr-2025 13:23:58","17-Apr-2025 13:27:16","198","A.女","A.18岁以下","B.否","A.是","B.否","B.否","A.是","A.是","A.是","B.否","A.是","","","","","","","","H.东南亚风格（如冬阴功汤）","","","0","0","5","0","5","5","0","0","5","5","5","0","5","5","0","5","5","0","0","5","0","0","0","0","0","0","0","0","5","0","简体中文","未清洗","","中国","浙江省","杭州市","","124.160.201.89","Mozilla/5.0 (iPhone; CPU iPhone OS 15_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 MicroMessenger/8.0.32(0x18002038) NetType/4G Language/zh_CN","",
