,sour,sweet,spicy,stinky,hard,raw,cold,Chuan,Yue,Xiang,JiangZhe,Korean,Western,SoutheastAsia,Japanese,veg
Salad,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1
Xiangguo,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Suancaiyu,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Donut,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BoiledVeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Baiqieji,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sushi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Malatang,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
KoreanChick,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Dongyingong,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Chashao,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BBQ,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
MushroomSoup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Luwei,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0
Tart,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
Hongshaorou,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Hamburger,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Shiguobanfan,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Baozaifan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pidanshourouzhou,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sashimi,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Steak,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pizza,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IceCream,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Pudding,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Xinjiangchaofen,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Xiaolongbao,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Suanlafen,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
Xiaomizhou,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Luosifen,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
